OID_,Name,Parcel__Parcel_Name,Project_ID,Record_Type,Project_Status,Owner__Full_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Neighborhood,Project_Zip_Code,Letter_of_Intent,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Modified_Date,Last_Project_Update_Date,Lat,Lon,A80_Proj_ID,LocCode,A80_URL,URL_Base,URL_Stat
1740,Suffolk University Academic Building Project,,2977,,,,,,,Downtown,,,,1/29/2009 0:00:00,1/21/2014 0:00:00,8/7/2015 0:00:00,10/30/2020 0:00:00,,42.359699999999997,-71.061800000000005,2977,,http://www.bostonplans.org/projects/development-projects/Suffolk-University-Academic-Building-Project,Suffolk-University-Academic-Building-Project,
1741,Canal Place Project,,2978,,,,,,,West End,,,,12/20/2005 0:00:00,,,10/30/2020 0:00:00,,42.356999999999999,-71.093000000000004,2978,None,http://www.bostonplans.org/projects/development-projects/Canal-Place-Project,Canal-Place-Project,
1742,Gordon's Wood Condominium Project,,2979,,,,,,,West Roxbury,,,,6/6/2006 0:00:00,2/4/2009 0:00:00,8/6/2012 0:00:00,10/30/2020 0:00:00,,42.283999999999999,-71.171400000000006,2979,,http://www.bostonplans.org/projects/development-projects/Gordon-s-Wood-Condominium-Project,Gordon-s-Wood-Condominium-Project,
1743,Leachmore Point Project,,2980,,,,,,,South Boston,,,,11/16/2006 0:00:00,4/18/2012 0:00:00,9/18/2013 0:00:00,10/30/2020 0:00:00,,42.342500000000001,-71.056899999999999,2980,,http://www.bostonplans.org/projects/development-projects/Leachmore-Point-Project,Leachmore-Point-Project,
1744,Stonewall Audubon Circle,,2981,,,,,,,Fenway,,,,1/11/2007 0:00:00,1/31/2014 0:00:00,1/27/2016 0:00:00,10/30/2020 0:00:00,,42.346299999999999,-71.103200000000001,2981,,http://www.bostonplans.org/projects/development-projects/Stonewall-Audubon-Circle,Stonewall-Audubon-Circle,
1745,25 Miner Street Audubon Circle,,2982,,,,,,,Fenway,,,,11/15/2012 0:00:00,1/31/2014 0:00:00,1/27/2016 0:00:00,10/30/2020 0:00:00,,42.346299999999999,-71.103200000000001,2982,,http://www.bostonplans.org/projects/development-projects/25-Miner-Street-Audubon-Circle,25-Miner-Street-Audubon-Circle,
1746,The Residence at D Street PDA Development Plan,,2983,,,,,,,South Boston Waterfront,,,,9/21/2000 0:00:00,,,10/30/2020 0:00:00,,42.356999999999999,-71.093000000000004,2983,None,http://www.bostonplans.org/projects/development-projects/The-Residence-at-D-Street-PDA-Development-Plan,The-Residence-at-D-Street-PDA-Development-Plan,
1747,New Street Development Project,,2984,,,,,,,East Boston,,,,5/18/2010 0:00:00,10/13/2016 0:00:00,4/13/2017 0:00:00,10/30/2020 0:00:00,,42.371400000000001,-71.044700000000006,2984,,http://www.bostonplans.org/projects/development-projects/New-Street-Development-Project,New-Street-Development-Project,
1748,Central Boston Elder Services,,2986,,,,,,,Roxbury,,,,3/11/2004 0:00:00,,,10/30/2020 0:00:00,,42.356999999999999,-71.093000000000004,2986,None,http://www.bostonplans.org/projects/development-projects/Central-Boston-Elder-Services,Central-Boston-Elder-Services,
1749,Blessed Sacrament Campus Redevelopment,,2987,,,,,,,Jamaica Plain,,,,11/16/2006 0:00:00,9/18/2008 0:00:00,8/27/2014 0:00:00,10/30/2020 0:00:00,,42.323099999999997,-71.107600000000005,2987,,http://www.bostonplans.org/projects/development-projects/Blessed-Sacrament-Campus-Redevelopment,Blessed-Sacrament-Campus-Redevelopment,
