OID_,Name,Parcel__Parcel_Name,Project_ID,Record_Type,Project_Status,Owner__Full_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Neighborhood,Project_Zip_Code,Letter_of_Intent,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Modified_Date,Last_Project_Update_Date,Lat,Lon,A80_Proj_ID,LocCode,A80_URL,URL_Base,URL_Stat
1020,89 Brighton Avenue,,1767,,,,,,,Allston,,,6/26/2015 0:00:00,2/11/2016 0:00:00,2/16/2016 0:00:00,,11/23/2020 0:00:00,,42.352899999999998,-71.129700000000000,1767,,http://www.bostonplans.org/projects/development-projects/89-Brighton-Avenue,89-Brighton-Avenue,200
1021,Dot Block,,1768,,,,,,,Dorchester,,5/22/2015 0:00:00,6/2/2015 0:00:00,5/12/2016 0:00:00,,,10/30/2020 0:00:00,,42.309800000000003,-71.059799999999996,1768,,http://www.bostonplans.org/projects/development-projects/Dot-Block,Dot-Block,200
1022,Madison Park Infill,,1769,,,,,,,Roxbury,,3/27/2015 0:00:00,6/4/2015 0:00:00,10/15/2015 0:00:00,1/11/2018 0:00:00,,11/29/2020 0:00:00,12/10/2015 0:00:00,42.334699999999998,-71.086600000000004,1769,,http://www.bostonplans.org/projects/development-projects/Madison-Park-Infill,Madison-Park-Infill,200
1023,Bartlett Square II,,1770,,,,,,,Jamaica Plain,,,6/5/2015 0:00:00,11/10/2015 0:00:00,,,11/30/2020 0:00:00,11/10/2015 0:00:00,42.310200000000002,-71.106899999999996,1770,,http://www.bostonplans.org/projects/development-projects/Bartlett-Square-II,Bartlett-Square-II,200
1024,Lewis Wharf,,1771,,,,,,,North End,,,9/14/2015 0:00:00,,,,10/30/2020 0:00:00,,42.363100000000003,-71.049400000000006,1771,,http://www.bostonplans.org/projects/development-projects/Lewis-Wharf,Lewis-Wharf,200
1025,22 Boston Wharf Road,,1772,,,,,,,South Boston Waterfront,,6/10/2015 0:00:00,7/20/2015 0:00:00,1/14/2016 0:00:00,1/14/2016 0:00:00,7/12/2018 0:00:00,11/30/2020 0:00:00,2/25/2016 0:00:00,42.350299999999997,-71.046899999999994,1772,,http://www.bostonplans.org/projects/development-projects/22-Boston-Wharf-Road,22-Boston-Wharf-Road,200
1026,73 River Street,,1774,,,,,,,Mattapan,,,,,,,10/30/2020 0:00:00,,42.271599999999999,-71.073599999999999,1774,,http://www.bostonplans.org/projects/development-projects/73-River-Street,73-River-Street,200
1027,Whittier Choice,,1775,,,,,,,Roxbury,,,,10/15/2015 0:00:00,2/20/2018 0:00:00,,11/29/2020 0:00:00,11/10/2020 0:00:00,42.334000000000003,-71.088099999999997,1775,,http://www.bostonplans.org/projects/development-projects/Whittier-Choice,Whittier-Choice,200
1028,120 West 4th Street,,1777,,,,,,,South Boston,,,7/10/2015 0:00:00,10/15/2015 0:00:00,,,11/30/2020 0:00:00,10/15/2015 0:00:00,42.341099999999997,-71.055999999999997,1777,,http://www.bostonplans.org/projects/development-projects/120-West-4th-Street,120-West-4th-Street,200
1029,Douglass Park (Phase II),,1778,,,,,,,Roxbury,,,,3/17/2016 0:00:00,7/11/2017 0:00:00,6/21/2019 0:00:00,12/9/2020 0:00:00,4/11/2019 0:00:00,42.338600000000000,-71.082999999999998,1778,,,Douglass-Park-(Phase-II),404
1030,533 Washington Street,,1779,,,,,,,Downtown,,,3/31/2016 0:00:00,,,,10/30/2020 0:00:00,,42.354100000000003,-71.062200000000004,1779,,,533-Washington-Street,404
1031,64 Allandale,,1780,,,,,,,West Roxbury,,,,5/12/2016 0:00:00,,,10/30/2020 0:00:00,,42.300899999999999,-71.131600000000006,1780,,http://www.bostonplans.org/projects/development-projects/64-Allandale,64-Allandale,200
1032,Telford 180,,1781,,,,,,,Brighton,,,7/21/2015 0:00:00,9/17/2015 0:00:00,6/28/2016 0:00:00,6/7/2018 0:00:00,11/30/2020 0:00:00,5/6/2016 0:00:00,42.363599999999998,-71.137799999999999,1781,,http://www.bostonplans.org/projects/development-projects/Telford-180,Telford-180,200
1033,Bartlett Station Condominiums [Phase 3 PDA No. 94],,1782,,,,,,,Roxbury,,,11/9/2015 0:00:00,6/9/2016 0:00:00,11/17/2016 0:00:00,4/19/2019 0:00:00,11/29/2020 0:00:00,7/19/2018 0:00:00,42.326599999999999,-71.088499999999996,1782,,,Bartlett-Station-Condominiums-[Phase-3-PDA-No.-94],404
1034,380 Stuart Street,,1783,,,,,,,Back Bay,,,,11/10/2015 0:00:00,,,11/29/2020 0:00:00,11/10/2015 0:00:00,42.348900000000000,-71.073200000000000,1783,,http://www.bostonplans.org/projects/development-projects/380-Stuart-Street,380-Stuart-Street,200
1035,117-127 Heath Street,,1784,,,,,,,Mission Hill,,,,,,,10/30/2020 0:00:00,,42.326700000000002,-71.102999999999994,1784,,,117-127-Heath-Street,404
1036,100 Weld Street,,1785,,,,,,,Roslindale,,,,11/10/2015 0:00:00,10/14/2016 0:00:00,,11/29/2020 0:00:00,11/10/2015 0:00:00,42.294199999999996,-71.135800000000003,1785,,http://www.bostonplans.org/projects/development-projects/100-Weld-Street,100-Weld-Street,200
1037,Boston Children's Hospital - Pedestrian Connector,,1786,,,,,,,Longwood Medical Area,,,,,12/28/2016 0:00:00,9/3/2019 0:00:00,10/30/2020 0:00:00,,42.337600000000002,-71.105400000000003,1786,,http://www.bostonplans.org/projects/development-projects/Boston-Children-s-Hospital-Pedestrian-Connector,Boston-Children-s-Hospital-Pedestrian-Connector,200
